"","product","helpful_count","total_comments","url","review_country","reviewed_at","review_text","review_rating","product_company","profile_name","review_title","review"
"11","Apple iPhone XR (64GB) - Black",88,0,"url 2","India",2019-01-27,"Best mobile  and my favourite Where nice XR Amazing futures and best camera so thanks for  Amazon","5 stars","Apple","dasharthsingh  rajpurohit akherajot","Best of best quality",5
"12","Apple iPhone XR (64GB) - Black",69,1,"url 2","India",2019-07-21,"Don't buy Apple products from Amazon. I got a defective product which is not activating. During first charging the iPhone started heating like anything. Since there was a 10 days replacement policy, so I asked Amazon to replace it as the product is defective. But very poor customer service from Amazon. They didn't change the iPhone rather told me to visit service centre. Now I am with a defective product which is not operating.","1 star","Apple","Amazon Customer","Horrible Experience with Amazon",1
"13","Apple iPhone XR (64GB) - Black",63,0,"url 2","India",2019-04-04,"Face recognition is slower some times. I have no complaints about it. I am die hard fan of XR. I was eagerly waiting for dual sim iPhone. Its heavy but looks are so attractive that you will be ready to carry that little extra weight. I am using it since two months. Dont watch any reviews. Just buy it and enjoy. Yes its expensive. Sometimes rather many times money is not worth than happiness.","5 stars","Apple","iAakash","It fulfilled my expectations.",5
"14","Apple iPhone XR (64GB) - Black",60,0,"url 2","India",2019-04-12,"Great Phone, I am happy with the phone so far.","5 stars","Apple","Tarun Pandey","Great phone, if you don't care about OLED screen, colors",5
"15","Apple iPhone XR (64GB) - Black",55,0,"url 2","India",2019-06-04,"There are lots of reviews on net for XR, I would give just quick points based on my experience of XR 128 GB.","5 stars","Apple","Sanjeev","A Dark Horse",5
"16","Apple iPhone XR (64GB) - Black",62,1,"url 2","India",2018-11-27,"Dont buy this phone only waste of money it hangs many time.","2 stars","Apple","Prabhat","Hang’s many time",2
"17","Apple iPhone XR (64GB) - Black",45,0,"url 2","India",2019-09-24,"STEVE JOBS GONE i phone gone !!!!!!","1 star","Apple","Dr.Reddee","I PHONE  THOFE ME MILE THO LELO",1
"18","Apple iPhone XR (64GB) - Black",53,0,"url 2","India",2018-12-09,"Single SIM is working fine but if you are using E-sim in this phone. Not good quality for dual sim. Many times Number showing switched off.","3 stars","Apple","Sonu Klaynia","Network Issue if you are using dual sim in iPhone XR",3
"19","Apple iPhone XR (64GB) - Black",54,2,"url 2","India",2019-01-01,"It is not supporting any type of sim.. the network gets disconnected after sometime only","1 star","Apple","Ankita Saikia","Not supporting any sim",1
"20","Apple iPhone XR (64GB) - Black",38,0,"url 2","India",2019-06-06,"i always was unhappy with the size of my previous iPhones (iPhone 7 and 5s), I badly needed an upgrade and but dont have the budget of 1lakh so I took my chances with XR and I am very happy with my purchase.","5 stars","Apple","Munnagkumar Anne","Best Buy!! iPhone XR full fills the dream of big iPhone",5
"21","Apple iPhone XR (64GB) - Black",35,0,"url 3","India",2019-02-06,"This is a product which lets down the whole high end feel of an iPhone. Apple has packed in a very sophisticated software hardware system in a rather disappointing design and the phone is bulkier and heavier than any of its competition in the market. The premium feel of the product is completely let down and left to enjoy is a good software interface of ios and an excellent camera. Overall a cheap buy for an apple lover but for a first time user the phone is totally let down.","3 stars","Apple","Nitesh","Disappointment for an iPhone",3
"22","Apple iPhone XR (64GB) - Black",35,1,"url 3","India",2019-07-13,"Im facing some speaker related issues and had given my handset XR 64 Gb in service center they denied to repair the same stating that the handset is fake and not valid for any warrenty","1 star","Apple","Ankur Arora","Fake handsetset received",1
"23","Apple iPhone XR (64GB) - Black",32,1,"url 3","India",2019-04-24,"All in all an amazing product yet again from Apple. I know many people are confused wheather to go for an apple X or Xr. Well to be frank i suggest XR purely because of the fact that XR will have 1yr more support from Apple in respect to X.  Other than that the dual camera of X and single camera of XR have the same quality. As far as speed goes both are same. Xr is dual sim but you gotta understand you can insert just 1 sim. The 2nd sim is an eSim which needs to be activated by Telecom service providers. Theres not much difference in display as well. All in all XR rules","5 stars","Apple","Neel","Go for XR if you confused between X and XR",5
"24","Apple iPhone XR (64GB) - Black",28,0,"url 3","India",2020-02-05,"I had taken the phone but the phones holds too many defects and issues. When we talk the mouth pice is not that precise to hold you voice creaky the voice is not audible if the phone is even partially away from your chin/mouth.","1 star","Apple","Meher k.","Pathetic Apple and IPhone Review",1
"25","Apple iPhone XR (64GB) - Black",26,0,"url 3","India",2019-09-10,"there are two angles from which smartphones are generally looked. and i will be very honest in this review so that a genuine user can understand if he really wants apple!","5 stars","Apple","Ayush Kumar Singh","got at ₹49,900 but do i wasted my 50k?? ABSOLUTELY NO!",5
"26","Apple iPhone XR (64GB) - Black",29,0,"url 3","India",2019-04-11,"Smooth as butter, no lag and awesome display with superb camera..Just the perfect phone","5 stars","Apple","Harshal","Smooth as Butter",5
"27","Apple iPhone XR (64GB) - Black",24,0,"url 3","India",2019-04-15,"Using around a week now. Its snappy fast. Power efficient. Gives a back up of a whole day on average use. It has a single but impressive rear camera. Selfie camera is excellent. Low light performance is average though. The phone is bulky, Heavy, weighing more than 190 grams. You surely need to use a protective case to protect Camera bump and glass on both sides. Display is crisp.","5 stars","Apple","Manohar Mali","Nice Phone",5
"28","Apple iPhone XR (64GB) - Black",19,0,"url 3","India",2019-05-14,"This is by far the best smartphone i have ever owned.","5 stars","Apple","Alfred","Awsome Product by Apple",5
"29","Apple iPhone XR (64GB) - Black",23,0,"url 3","India",2018-11-26,"A Perfect Phone with a great camera, great performance, Great look, Great Battery life and a good Display. Worth the trade off. Perfect size","5 stars","Apple","yaswanth kumar","Awesome Phone",5
"30","Apple iPhone XR (64GB) - Black",16,0,"url 3","India",2019-10-07,"NEVER BUY it from Amazon. VERY POOR PRODUCT AND CUSTOMER CARE.i bought it and received it on 3.10.2019 and noted a crack on right top corner of display which was visible when the plastic sticker was removed and complained to amazon customer cell on 4.10.2019. they assured a replacement. nothing happened. when i called them a number of times, they simply tranfer my calls to diiferent sections and then assurinng call back and then not calling back. Apple says it is the duty of amazon to take measures for replacement. Still left nowhere with my money gone on a damaged product.","1 star","Apple","ramanadhan","NEVER BUY FROM AMAZON",1
"31","Apple iPhone XR (64GB) - Black",25,1,"url 4","India",2018-11-01,"Extremely easy to use. Good specifications.","5 stars","Apple","AMIT SINGHA ROY","Worthy buy",5
"32","Apple iPhone XR (64GB) - Black",15,0,"url 4","India",2019-05-18,"Best iPhone Ive used. Sold my one plus 6 and got this one. The screen is not an OLED so you miss out on deep blacks and saturation. But I noticed the colours are better than the older iPhones with LCD. It also has thick bezels which take some time to get used to. An OLED screen on this wouldve been wonderful but apple being apple wont do that!","5 stars","Apple","Suraag","Amazing phone! iOS makes it worth the money! Delivered 3 days late by the seller.",5
"33","Apple iPhone XR (64GB) - Black",19,2,"url 4","India",2019-06-17,"Poor Front camera cannot take photo with light at background (photo attached)","1 star","Apple","Amazon Customer","Worst camera",1
"34","Apple iPhone XR (64GB) - Black",14,0,"url 4","India",2019-08-16,"This is my first phone from Apple. I was in confusion in buying between pixel and iphone. Even though pixel is far superior than apple in all departments, I went for iphone due to craziness. The product is well packed and delivered. When I started using the phone, the screen looks average, battery is good and the hardware seems good. The camera disappoints me al lot. Never expect this from Apple. In particular, the front camera is worst, in indoor lightning conditions and can see dots in image like a VGA camera.  At a cost of 60k, I was more so curious about the camera. It disappoints me badly. Even my motorola camera works well. If you are crazzy for the brand, go for it. Else definitely, you can go for other models in the market.","1 star","Apple","Dinesh","Disappointed !!!",1
"35","Apple iPhone XR (64GB) - Black",17,0,"url 4","India",2019-08-13,"This Appario seem to be a fraud. My shipment has been smartly tampered and the have managed to overcome the security features. Even iPhone package back label have been tampered. Amazon Customer Care on phone or Twitter is of no help. I need to return this and get a replacement.","1 star","Apple","Amazon Customer","Tampered shipment & product",1
"36","Apple iPhone XR (64GB) - Black",21,1,"url 4","India",2018-11-12,"Most Beautiful, Fast and Stylish iPhone, I've ever Had..","5 stars","Apple","Sushil Nagpal","Most Beautiful, Fast and Stylish iPhone, I've ever Had..",5
"37","Apple iPhone XR (64GB) - Black",15,0,"url 4","India",2019-06-11,"Like every time, Apple has again mesmerised me with its great creation iPhone XR. The best part in this is when you unbox your brand new iPhone. It comes with an earpod, and a Fast charger. I understand that the price might be a bit high but trust me, its worth it. The camera has the best feature within it. Everyone says that its an LCD screen but youll nit be able to differentiate just by looking at the screen. The phone performance  is more faster now. And last but not the least, I am really impressed with the battery back up time. It really lasts. Full charge at 10 am and then the whole day on Cellular Data, I have played PES2019, played some songs from YouTube Music, hovering on Whatsapp, Instagram, Facebook and clicked some good photos. When i came back home at 11 oclock, i still had 66% charge. Thats what we needed in an iPhone.","5 stars","Apple","Kusan Majumder","The Best Choice !",5
"38","Apple iPhone XR (64GB) - Black",11,1,"url 4","India",2019-09-15,"iPhone XR is excellent there is no doubt about this. This first time my iPhone experience. Its great experience. But I am very unhappy about the dual sim performance (May be solved the problem).","3 stars","Apple","Mondal","Problem with Dual SIM",3
"39","Apple iPhone XR (64GB) - Black",15,0,"url 4","India",2019-03-10,"Been a iPhone user always. Upgraded to iPhone XR from iPhone 6 and I have no regrets. Just love the ease that face recognition brings in... freedom that 128GB memory brings in... and of course peace of mind that Apple brand name brings in.","5 stars","Apple","Santanu Biswas","Best iPhone till date",5
"40","Apple iPhone XR (64GB) - Black",18,0,"url 4","India",2019-05-25,"the phone wont turn on","1 star","Apple","varun","faulty product sent",1
"41","Apple iPhone XR (64GB) - Black",12,0,"url 5","India",2019-05-05,"A lot of criticism of iPhone XR has been about its inability to take portrait pics of only human faces! Though true, it can be very easily overcome by downloading a software app - Halide! That and the near negligible difference in viewing experience, puts it on par with iPhone XS and even XS Max! Just go for it the 256 GB storage version!","5 stars","Apple","Vyver","Go for iPhone XR 256GB!",5
"42","Apple iPhone XR (64GB) - Black",14,0,"url 5","India",2019-08-09,"Prices have fallen by rs 10000 in 3 days after I bought my phone. I feel terrible.","1 star","Apple","H S.","Prices have fallen by rs 10000 in 3 days after I bought my phone. I feel terrible.",1
"43","Apple iPhone XR (64GB) - Black",10,0,"url 5","India",2019-08-22,"Faulty product delivered and Amazon not giving replacement. Cheating with customer and just making money by scam and defective product delivery. Phone is not usable as display stop working randomly and screen freeze suddenly. I have provide problem video also to Amazon within 10 days of replacement but Amazon just making money and cheating with customer.","1 star","Apple","Ratnesh","Pathetic service from Amazon",1
"44","Apple iPhone XR (64GB) - Black",10,0,"url 5","India",2019-12-09,"Iphone is good but probably I have received a defective piece from amazon as I am facing issues with software. Further never heard a iphone to be hanging issue but I am facing the same and attached a video regarding it. Within a month I have to visit customer care and still facing issues. Very worst experience dont buy it from amazon.","1 star","Apple","Prince kumar","Just don’t buy it from amazon totally waste of money.",1
"45","Apple iPhone XR (64GB) - Black",14,0,"url 5","India",2018-11-28,"Super fast performance, long battery hours, little heavier than iphone 7 plus. Overall good phone.","5 stars","Apple","mike","Fast, long battery hours",5
"46","Apple iPhone XR (64GB) - Black",9,1,"url 5","India",2019-06-25,"Has many drawbacks. Apps developed for iPhone by Indian Companies arent good at all. You cant even do a normal Tatkal booking as irctc app unavailable. No dual Whatsapp so one number is wasted. No dual Facebook as well. Maximum 5gb cloud backup storage limit. Apps get refreshed more frequently and better enhancements on android. No features to search apps easily. Wifi once disconnected loses auto join features. Maximum 100 call records thats very very annoying. Difficult to set primary and secondary sims in sms. Some Whatsapp features missing.","2 stars","Apple","Aniruddha Ghosh","Disappointing in many ways",2
"47","Apple iPhone XR (64GB) - Black",15,0,"url 5","India",2018-11-24,"It is heavy weight if u use more ull feel it hard to hold on regular note!","3 stars","Apple","Amazon Customer","It is heavy weight phone",3
"48","Apple iPhone XR (64GB) - Black",9,0,"url 5","India",2019-07-22,"There have been multiple issues faced since started installing and restoring from icloud. Gets hanged/stuck, suddenly WiFi gets disconnected and doesn't get connected till restart, deteriorated network speed on usage of the data.....","1 star","Apple","Arun Stambhampelli","Bad quality/performance",1
"49","Apple iPhone XR (64GB) - Black",6,0,"url 5","India",2019-08-08,"First off, the battery life is INCREDIBLE! This is the first phone I have used where I can get two days of use on one charge! I would regularly charge the phone overnight one night, then go to bed at midnight with 55-60% left the next night, leave it unplugged, and finish the next day at midnight with around 2-5%. The size of the phone was just just about perfect for holding/scrolling with one hand, and I usually wear mens size medium gloves for reference.","5 stars","Apple","Bharat Oberoi","Superb price thanx to amazon",5
"50","Apple iPhone XR (64GB) - Black",8,0,"url 5","India",2019-04-04,"When compared with XS only visible difference would be screen, that too when kept side by side.","5 stars","Apple","Apurv Sinha","Worth Every Penny",5
"51","Apple iPhone XR (64GB) - Black",9,0,"url 6","India",2019-03-27,"Awesome IPhone.. I have upgraded from iPhone 6 and I can notice the significant different in display, touch and XR is certainly faster. Its worth the upgrade..! Thank you Amazon for delivering it securely.","5 stars","Apple","Richa G.","I love it..!",5
"52","Apple iPhone XR (64GB) - Black",9,0,"url 6","India",2019-01-21,"Got this phone for offer price. Everything is great from packing to delivery. Display quality is very good. Dual sim option is very good, got esim from airtel","5 stars","Apple","Karthik S","Xcellent phone",5
"53","Apple iPhone XR (64GB) - Black",4,0,"url 6","India",2019-07-16,"Bought this phone for my wife. She's absolutely happy with the phone.","5 stars","Apple","Arnab Chowdhury","Best iPhone to buy at this price.",5
"54","Apple iPhone XR (64GB) - Black",7,0,"url 6","India",2019-09-04,"I want to replace this iphone because since i got this it worked well for w week then later on its speed is slowed down and even it hangs sometimes. Its been 3 months since i got this n i m already irritated with this device. My lighting usb has already stopped working .","1 star","Apple","Amazon Customer","Swap my iphone xr",1
"55","Apple iPhone XR (64GB) - Black",9,0,"url 6","India",2019-04-17,"Great phone for better photos and low light battery usage is much better than X","5 stars","Apple","Monty","Thanks apple India. Very very thanks amazon for faster delivery and original product",5
"56","Apple iPhone XR (64GB) - Black",6,0,"url 6","India",2019-06-03,"So overall its a pretty nice phone, I honestly dont find much difference in features from my old iPhone 6. Apart from face recognition.","4 stars","Apple","Souqa Lifestyle","Good phone but horribly heavy",4
"57","Apple iPhone XR (64GB) - Black",13,0,"url 6","India",2018-11-28,"Good phone","5 stars","Apple","Shaiju Georger","Very good phone very fast",5
"58","Apple iPhone XR (64GB) - Black",5,0,"url 6","India",2019-07-18,"Ive been using Android for close to a decade and now decided to check out iOS. Thanks to Amazon Prime Sale, got iPhone XR for a discounted price(Still expensive), Coming to the iPhone itself, after using phone for 3 days, below are the points I came across.","4 stars","Apple","Bharath Yadav","My First Apple iPhone",4
"59","Apple iPhone XR (64GB) - Black",4,0,"url 6","India",2019-09-30,"Using this phone since 2 months. Here is my review. Hope you will find it useful.","5 stars","Apple","Prashant","Nice Phone",5
"60","Apple iPhone XR (64GB) - Black",5,0,"url 6","India",2019-06-16,"I was skeptical looking at some XR reviews and also purchasing an iPhone off Amazon (previously always bought through Apple Stores). However, so far happy with what I have. The delivery was fast (on Prime, next day); all original packing (phone box) and phone is working fine. Touchwood - no issues. The Deal was good with the 10% additional HDFC discount. Go for 128 GB (or even higher) - the few extra thousand are worth it when you run out of space.","5 stars","Apple","Anushka M","XR Deals seem very good",5
"61","Apple iPhone XR (64GB) - Black",4,0,"url 7","India",2019-10-27,"I got a defective iPhone XR. The screen is defective. Theres a blue shade on all the four sides of the screen. The phones working completely fine though.  So whoever purchased the phone while unboxing please check your device thoroughly. It was my mistake that i thought that maybe its something related to software which will be fixed after software update but it didnt. And in that belief i skipped my 10 days return policy as well. I still dont blaim amazon because i have purchased my Airpods from them as well. But still appario should not sell defective products to customers. Now i have to go through a hassle of getting the screen replaced from service centre and for that service centre will keep my phone for at least 7-10 days. Its disappointing that i have to go through all this for a brand new phone. The reason why i didnt upload a pic is bcuz it will not be visible in a pic taken from another phone.","2 stars","Apple","Mandeep Kumar","Got a defective screen product delivered.",2
"62","Apple iPhone XR (64GB) - Black",12,0,"url 7","India",2018-12-03,"ALL good","5 stars","Apple","Ritika","Loved it",5
"63","Apple iPhone XR (64GB) - Black",4,0,"url 7","India",2019-10-03,"I chose iPhone XR over x. The reasons are, it is 6.1-inch display and supports dual sim. the Battery Durability longs last. I got the Brand New peace (made in 2019, September) without any defect.","5 stars","Apple","Syam Jeevan","Blindly go for it.",5
"64","Apple iPhone XR (64GB) - Black",3,0,"url 7","India",2020-01-29,"During the great India sale, I saw this model on offer and my sister was dying to get a new phone since her old phone was barely keeping up. I finally made up my mind,, arranged the funds and got it for my sister.","5 stars","Apple","Subhradeep","Apple's most selling model",5
"65","Apple iPhone XR (64GB) - Black",7,0,"url 7","India",2019-07-09,"Phone looks beautiful. I bought it just one month before thru Amazon, when I put my sim it's speaker has not been working , it is difficult to listen voice sometimes it becomes disconnected. Although my android phone is working good at the same place. I don't know whom should I contact about my complaint.","1 star","Apple","Amazon Customer","iPhone beautiful but not functional",1
"66","Apple iPhone XR (64GB) - Black",5,0,"url 7","India",2019-06-03,"After transition from Android to iOS, I felt Android is more user friendly compared to iOS.","5 stars","Apple","Pavankumar","Felt Android is better compared to ios",5
"67","Apple iPhone XR (64GB) - Black",10,0,"url 7","India",2019-04-22,"I am not able to activate iphone after several attempts. Today only i purchased.","1 star","Apple","LovelySharma","Not getting activated",1
"68","Apple iPhone XR (64GB) - Black",4,0,"url 7","India",2019-11-24,"Hello friends!! This is my honest review after using it for almost 2 months. I was using android since last seven years but then I decided to go for iPhone. Here are the pros and cons according to me which I have felt after using it for almost 2 months","4 stars","Apple","aayush jain","PHONE IS GOOD, but THE OPERATING SYSTEM (ios) IS NOT!!",4
"69","Apple iPhone XR (64GB) - Black",4,0,"url 7","India",2019-06-01,"So upgrading from 6S+ to XR. First reactions:","4 stars","Apple","ashish b.","Good phone, good deal",4
"70","Apple iPhone XR (64GB) - Black",5,0,"url 7","India",2020-01-17,"Everything look good but I never expect.","1 star","Apple","Ajay sahu","🙏🏽",1
"71","Apple iPhone XR (64GB) - Black",3,0,"url 8","India",2019-10-08,"Upgraded from 5s to xr after 3 years of 5s use. Purchased it at 37999 after low battery issues with 5s. Why I choose xr rather than iPhone 8 ,7 or even 6s even when I bought 5s after 3 years of its initial launch is","5 stars","Apple","Truth","Apple's Perfection at a premium but ....",5
"72","Apple iPhone XR (64GB) - Black",2,0,"url 8","India",2019-08-25,"Before I start this review Ill let you know, I love the Apple brand and Ive never used a 1080p OLED phone in my life (This screen seems perfectly normal to me). That being said Ill dive into the review. I got this phone on the Prime day sale and Ive been using it for almost a month now and here are my thoughts about this phone.","5 stars","Apple","Kevin","Great hardware + Stunning software = 1 magical experience",5
"73","Apple iPhone XR (64GB) - Black",5,0,"url 8","India",2019-05-07,"Got this product in the amazon flash sale and got a decent discount. Have been using the device for a few days and can certainly say that this iPhone has the best battery life till date. Phone lasted for almost 30 hours with heavy usage. The face recognition has certainly been improved from iPhone X. The only thing I dislike about the phone is the Screen Quality. You wont find any major difference in the screen quality unless and until you stream Netflix or watch YouTube. Overall I feel this is one of the best iPhones apple has launched.","4 stars","Apple","Sidhant Ahuja","iPhone with the Best Battery Life",4
"74","Apple iPhone XR (64GB) - Black",6,1,"url 8","India",2019-08-10,"You will always feel cheated after buying an iPhone. It will get cheaper by every next 2-3 months.","4 stars","Apple","Awinash Goswami","ok",4
"75","Apple iPhone XR (64GB) - Black",2,0,"url 8","India",2019-11-29,"I have been using this phone for a while now. When I decided to buy this phone I checked on negative reviews first and after buying thought of using it first and then give a feedback. This is the perfect Phone with all advanced features for a normal user, which is worth for the price. Moving unto the flaws seen on the feedbacks, most of them complaining about the display being low resolution and LCD. In my opinion you wont spot any difference with other iPhone displays. Another thing Ive seen than lot of people complaining about the single camera, however, the picture quality you get will amuse you.","5 stars","Apple","Sobin Thomas","Never mind the negative reviews- used review- Excellent phone.",5
"76","Apple iPhone XR (64GB) - Black",2,0,"url 8","India",2019-08-01,"Bought this during Prime sale. I love to use Apple products because of its simplicity. I was using iPhone 6 and thought of updating. While the XS and XS Max are more than a Lakh in India, iPhone XR is bang for the buck. The prime day deal was more sweet and surprise to me. The operation and touch responses are silky smooth. Dual Sim with the eSIM works like a charm. Rear camera is awesome with face detection AI Bookeh in Portrait mode. Screen resolution is very good and crisp without any pixel issues. It lacks 3D Touch but Apple incorporated Taptic Engine which will be updated to replace 3D Touch functionality eventually (though some are present now, it is limited). Some APPs are not good in the notch area though but it is ok to manage. Overall a nice update.","5 stars","Apple","S. Chandrasekaran","Amazing iPhone with great offer from Amazon",5
"77","Apple iPhone XR (64GB) - Black",5,0,"url 8","India",2019-10-02,"Received the product next day only but packaging was not good as it is a cellphone box they should cover it with some thing  Phone is working fine but some times apps automatically closes I am a bit confused if it is a genuine product or not  I would suggest people not to buy from amazon you should go to your nearest store and buy it","1 star","Apple","Anu","iPhone XR",1
"78","Apple iPhone XR (64GB) - Black",2,0,"url 8","India",2019-11-04,"I am a recent convert from Android. I have used Samsung and Xiaomi phones earlier. Here is my initial impression:","3 stars","Apple","Mayur","Review from an Android user",3
"79","Apple iPhone XR (64GB) - Black",2,0,"url 8","India",2019-08-23,"Dont get swayed by some lame reviewers on YouTube. If u r holding out for an iPhone purchase then this is the real deal. The Xr is a jack of all trades although not excelling in any. The A12 Bionic is a beast,nuff said already, the stereo speakers sound sweet and battery life is great. I found the most bashed about lcd display very pragmatic for everyday use.The portrait shots taken with the camera look a stunner.With the reason price cut , this has turned out to be the VFM iPhone ever made","5 stars","Apple","Rkrish","The iPhone for the masses..",5
"80","Apple iPhone XR (64GB) - Black",3,0,"url 8","India",2019-10-10,"Received product yesterday and product looks perfectly awesome.","5 stars","Apple","Sachin","Ignore the negative reviews and just go for this awesome phone",5
"81","Apple iPhone XR (64GB) - Black",3,0,"url 9","India",2020-01-19,"Excellent phone. I am using it since 3 months. No problem. Classy product. Bought during Diwali sale @39k. Excellent battery backup lasting more than a day. Mind that I am a heavy user. Excellent photos. SIRI works well. No issues faced. Must go for it over other Chinese product in this price segment.","5 stars","Apple","Vishal","Class and simply class",5
"82","Apple iPhone XR (64GB) - Black",6,0,"url 9","India",2019-08-11,"Iphone not working since I opened the box. Apple support of little help. Amazon not taking the return. Asking for a report from Apple. Now I have to chase Apple to get a report. Nightmare starts when you buy from Amazon.","1 star","Apple","Vishal","iPhone Dead when you open the box",1
"83","Apple iPhone XR (64GB) - Black",2,0,"url 9","India",2020-02-05,"There are many pros about this phone which you must be already aware of . I would like to point out at cons","4 stars","Apple","anurag raghuvanshi","Good phone with lot of cons but still flagship",4
"84","Apple iPhone XR (64GB) - Black",3,0,"url 9","India",2020-01-15,"Face ID and front camera portrait mode isn't working just after 3 months of purchase. It must be a problem of true depth sensor. My city (Imphal) apple servicing centre doesn't allow me to take for servicing and tells me to go to Guwahati (Assam) for this problem. May be a coincidence because this problem happened when I used amazon basics 10w fast wireless charger which I combine with xiaomi quick charge 3","1 star","Apple","wangkhem yuhen singh","Face ID and front camera portrait mode isn't working just after 3 months of purchase.",1
"85","Apple iPhone XR (64GB) - Black",2,0,"url 9","India",2019-10-08,"I was using iphone 6 since last three years before switching to Iphone XR. The following are the things that impressed me the most.","5 stars","Apple","JYO","Best Iphone, Sweet deal",5
"86","Apple iPhone XR (64GB) - Black",3,0,"url 9","India",2019-09-29,"Camera superb","5 stars","Apple","Amazon Customer","In this price of 45000, its the best choice for long term",5
"87","Apple iPhone XR (64GB) - Black",1,0,"url 9","India",2019-10-20,"I bought this iPhone XR from October Amazon Great Indian Festival at deep discount. At Rs 38000 after all discounts were applied was a WOW deal. THANK YOU Amazon.","5 stars","Apple","Ankan Pal","Awesome iPhone",5
"88","Apple iPhone XR (64GB) - Black",2,0,"url 9","India",2019-08-16,"Nothing can beat iPhone. This is my fourth phone (iPhone SE, iPhone 6, iPhone 8 and now this) purchased from Amazon. All are excellent phones. Except for screen resolution, iPhone XR is nothing less than XS or XS Max. In fact, the battery life is twice as that of iPhone 8. Face recognition is excellent even in dark while android phones lack this technology. White is a beautiful color. Delivery was before scheduled deadline and in good external packing.","5 stars","Apple","Swamy","Excellent Phone",5
"89","Apple iPhone XR (64GB) - Black",3,0,"url 9","India",2019-08-01,"I was bit worried about the authenticity of buying iphone online with unknown seller and by paying huge amount ,I took the  Risk but i would say amazon and seller  has done a wonderful job ,i checked the product  in apple website and its a genuine product with 1 year warranty..iphone is iphone with best processor,camera ,good battery life ,good for gaming and with  regular  updates from apple ..","5 stars","Apple","Ranjit","Original iphone",5
